Field,Type,Dataframe,Description
total_first_down_exp,numeric,weekly,Expected number of total_first_down in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
total_fantasy_points,numeric,weekly,"Total fantasy points (sum of pass, rush, and receiving fantasy points)"
total_fantasy_points_exp,numeric,weekly,Expected number of total_fantasy_points in this game (weekly) or on this play (pbp_rush/pbp_pass) given situation
pass_completions_diff,numeric,weekly,Difference between actual and expected number of pass_completions - often interpreted as efficiency for a given play/game
receptions_diff,numeric,weekly,Difference between actual and expected number of receptions - often interpreted as efficiency for a given play/game
pass_yards_gained_diff,numeric,weekly,Difference between actual and expected number of pass_yards_gained - often interpreted as efficiency for a given play/game
rec_yards_gained_diff,numeric,weekly,Difference between actual and expected number of rec_yards_gained - often interpreted as efficiency for a given play/game
rush_yards_gained_diff,numeric,weekly,Difference between actual and expected number of rush_yards_gained - often interpreted as efficiency for a given play/game
pass_touchdown_diff,numeric,weekly,Difference between actual and expected number of pass_touchdown - often interpreted as efficiency for a given play/game
rec_touchdown_diff,numeric,weekly,Difference between actual and expected number of rec_touchdown - often interpreted as efficiency for a given play/game
rush_touchdown_diff,numeric,weekly,Difference between actual and expected number of rush_touchdown - often interpreted as efficiency for a given play/game
pass_two_point_conv_diff,numeric,weekly,Difference between actual and expected number of pass_two_point_conv - often interpreted as efficiency for a given play/game
rec_two_point_conv_diff,numeric,weekly,Difference between actual and expected number of rec_two_point_conv - often interpreted as efficiency for a given play/game
rush_two_point_conv_diff,numeric,weekly,Difference between actual and expected number of rush_two_point_conv - often interpreted as efficiency for a given play/game
pass_first_down_diff,numeric,weekly,Difference between actual and expected number of pass_first_down - often interpreted as efficiency for a given play/game
rec_first_down_diff,numeric,weekly,Difference between actual and expected number of rec_first_down - often interpreted as efficiency for a given play/game
rush_first_down_diff,numeric,weekly,Difference between actual and expected number of rush_first_down - often interpreted as efficiency for a given play/game
pass_interception_diff,numeric,weekly,Difference between actual and expected number of pass_interception - often interpreted as efficiency for a given play/game
rec_interception_diff,numeric,weekly,Difference between actual and expected number of rec_interception - often interpreted as efficiency for a given play/game
pass_fantasy_points_diff,numeric,weekly,Difference between actual and expected number of pass_fantasy_points - often interpreted as efficiency for a given play/game
rec_fantasy_points_diff,numeric,weekly,Difference between actual and expected number of rec_fantasy_points - often interpreted as efficiency for a given play/game
rush_fantasy_points_diff,numeric,weekly,Difference between actual and expected number of rush_fantasy_points - often interpreted as efficiency for a given play/game
total_yards_gained_diff,numeric,weekly,Difference between actual and expected number of total_yards_gained - often interpreted as efficiency for a given play/game
total_touchdown_diff,numeric,weekly,Difference between actual and expected number of total_touchdown - often interpreted as efficiency for a given play/game
total_first_down_diff,numeric,weekly,Difference between actual and expected number of total_first_down - often interpreted as efficiency for a given play/game
total_fantasy_points_diff,numeric,weekly,Difference between actual and expected number of total_fantasy_points - often interpreted as efficiency for a given play/game
pass_attempt_team,numeric,weekly,"Team-level total pass_attempt for a game, summed across all plays/players for that team."
rec_attempt_team,numeric,weekly,"Team-level total rec_attempt for a game, summed across all plays/players for that team."
rush_attempt_team,numeric,weekly,"Team-level total rush_attempt for a game, summed across all plays/players for that team."
pass_air_yards_team,numeric,weekly,"Team-level total pass_air_yards for a game, summed across all plays/players for that team."
rec_air_yards_team,numeric,weekly,"Team-level total rec_air_yards for a game, summed across all plays/players for that team."
pass_completions_team,numeric,weekly,"Team-level total pass_completions for a game, summed across all plays/players for that team."
receptions_team,numeric,weekly,"Team-level total receptions for a game, summed across all plays/players for that team."
pass_completions_exp_team,numeric,weekly,"Team-level total expected pass_completions_exp for a game, summed across all plays & players for that team."
receptions_exp_team,numeric,weekly,"Team-level total expected receptions_exp for a game, summed across all plays & players for that team."
pass_yards_gained_team,numeric,weekly,"Team-level total pass_yards_gained for a game, summed across all plays/players for that team."
rec_yards_gained_team,numeric,weekly,"Team-level total rec_yards_gained for a game, summed across all plays/players for that team."
rush_yards_gained_team,numeric,weekly,"Team-level total rush_yards_gained for a game, summed across all plays/players for that team."
pass_yards_gained_exp_team,numeric,weekly,"Team-level total expected pass_yards_gained_exp for a game, summed across all plays & players for that team."
rec_yards_gained_exp_team,numeric,weekly,"Team-level total expected rec_yards_gained_exp for a game, summed across all plays & players for that team."
rush_yards_gained_exp_team,numeric,weekly,"Team-level total expected rush_yards_gained_exp for a game, summed across all plays & players for that team."
pass_touchdown_team,numeric,weekly,"Team-level total pass_touchdown for a game, summed across all plays/players for that team."
rec_touchdown_team,numeric,weekly,"Team-level total rec_touchdown for a game, summed across all plays/players for that team."
rush_touchdown_team,numeric,weekly,"Team-level total rush_touchdown for a game, summed across all plays/players for that team."
pass_touchdown_exp_team,numeric,weekly,"Team-level total expected pass_touchdown_exp for a game, summed across all plays & players for that team."
rec_touchdown_exp_team,numeric,weekly,"Team-level total expected rec_touchdown_exp for a game, summed across all plays & players for that team."
rush_touchdown_exp_team,numeric,weekly,"Team-level total expected rush_touchdown_exp for a game, summed across all plays & players for that team."
pass_two_point_conv_team,numeric,weekly,"Team-level total pass_two_point_conv for a game, summed across all plays/players for that team."
rec_two_point_conv_team,numeric,weekly,"Team-level total rec_two_point_conv for a game, summed across all plays/players for that team."
rush_two_point_conv_team,numeric,weekly,"Team-level total rush_two_point_conv for a game, summed across all plays/players for that team."
pass_two_point_conv_exp_team,numeric,weekly,"Team-level total expected pass_two_point_conv_exp for a game, summed across all plays & players for that team."
rec_two_point_conv_exp_team,numeric,weekly,"Team-level total expected rec_two_point_conv_exp for a game, summed across all plays & players for that team."
rush_two_point_conv_exp_team,numeric,weekly,"Team-level total expected rush_two_point_conv_exp for a game, summed across all plays & players for that team."
pass_first_down_team,numeric,weekly,"Team-level total pass_first_down for a game, summed across all plays/players for that team."
rec_first_down_team,numeric,weekly,"Team-level total rec_first_down for a game, summed across all plays/players for that team."
rush_first_down_team,numeric,weekly,"Team-level total rush_first_down for a game, summed across all plays/players for that team."
pass_first_down_exp_team,numeric,weekly,"Team-level total expected pass_first_down_exp for a game, summed across all plays & players for that team."
rec_first_down_exp_team,numeric,weekly,"Team-level total expected rec_first_down_exp for a game, summed across all plays & players for that team."
rush_first_down_exp_team,numeric,weekly,"Team-level total expected rush_first_down_exp for a game, summed across all plays & players for that team."
pass_interception_team,numeric,weekly,"Team-level total pass_interception for a game, summed across all plays/players for that team."
rec_interception_team,numeric,weekly,"Team-level total rec_interception for a game, summed across all plays/players for that team."
pass_interception_exp_team,numeric,weekly,"Team-level total expected pass_interception_exp for a game, summed across all plays & players for that team."
rec_interception_exp_team,numeric,weekly,"Team-level total expected rec_interception_exp for a game, summed across all plays & players for that team."
rec_fumble_lost_team,numeric,weekly,"Team-level total rec_fumble_lost for a game, summed across all plays/players for that team."
rush_fumble_lost_team,numeric,weekly,"Team-level total rush_fumble_lost for a game, summed across all plays/players for that team."
pass_fantasy_points_exp_team,numeric,weekly,"Team-level total expected pass_fantasy_points_exp for a game, summed across all plays & players for that team."
rec_fantasy_points_exp_team,numeric,weekly,"Team-level total expected rec_fantasy_points_exp for a game, summed across all plays & players for that team."
rush_fantasy_points_exp_team,numeric,weekly,"Team-level total expected rush_fantasy_points_exp for a game, summed across all plays & players for that team."
pass_fantasy_points_team,numeric,weekly,"Team-level total pass_fantasy_points for a game, summed across all plays/players for that team."
rec_fantasy_points_team,numeric,weekly,"Team-level total rec_fantasy_points for a game, summed across all plays/players for that team."
rush_fantasy_points_team,numeric,weekly,"Team-level total rush_fantasy_points for a game, summed across all plays/players for that team."
total_yards_gained_team,numeric,weekly,"Team-level total total_yards_gained for a game, summed across all plays/players for that team."
total_yards_gained_exp_team,numeric,weekly,"Team-level total expected total_yards_gained_exp for a game, summed across all plays & players for that team."
total_touchdown_team,numeric,weekly,"Team-level total total_touchdown for a game, summed across all plays/players for that team."
total_touchdown_exp_team,numeric,weekly,"Team-level total expected total_touchdown_exp for a game, summed across all plays & players for that team."
total_first_down_team,numeric,weekly,"Team-level total total_first_down for a game, summed across all plays/players for that team."
total_first_down_exp_team,numeric,weekly,"Team-level total expected total_first_down_exp for a game, summed across all plays & players for that team."
total_fantasy_points_team,numeric,weekly,"Team-level total total_fantasy_points for a game, summed across all plays/players for that team."
total_fantasy_points_exp_team,numeric,weekly,"Team-level total expected total_fantasy_points_exp for a game, summed across all plays & players for that team."
pass_completions_diff_team,numeric,weekly,"Team-level difference between actual and expected number of pass_completions_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
receptions_diff_team,numeric,weekly,"Team-level difference between actual and expected number of receptions_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
pass_yards_gained_diff_team,numeric,weekly,"Team-level difference between actual and expected number of pass_yards_gained_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
rec_yards_gained_diff_team,numeric,weekly,"Team-level difference between actual and expected number of rec_yards_gained_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
rush_yards_gained_diff_team,numeric,weekly,"Team-level difference between actual and expected number of rush_yards_gained_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
pass_touchdown_diff_team,numeric,weekly,"Team-level difference between actual and expected number of pass_touchdown_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
rec_touchdown_diff_team,numeric,weekly,"Team-level difference between actual and expected number of rec_touchdown_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
rush_touchdown_diff_team,numeric,weekly,"Team-level difference between actual and expected number of rush_touchdown_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
pass_two_point_conv_diff_team,numeric,weekly,"Team-level difference between actual and expected number of pass_two_point_conv_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
rec_two_point_conv_diff_team,numeric,weekly,"Team-level difference between actual and expected number of rec_two_point_conv_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
rush_two_point_conv_diff_team,numeric,weekly,"Team-level difference between actual and expected number of rush_two_point_conv_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
pass_first_down_diff_team,numeric,weekly,"Team-level difference between actual and expected number of pass_first_down_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
rec_first_down_diff_team,numeric,weekly,"Team-level difference between actual and expected number of rec_first_down_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
rush_first_down_diff_team,numeric,weekly,"Team-level difference between actual and expected number of rush_first_down_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
pass_interception_diff_team,numeric,weekly,"Team-level difference between actual and expected number of pass_interception_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
rec_interception_diff_team,numeric,weekly,"Team-level difference between actual and expected number of rec_interception_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
pass_fantasy_points_diff_team,numeric,weekly,"Team-level difference between actual and expected number of pass_fantasy_points_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
rec_fantasy_points_diff_team,numeric,weekly,"Team-level difference between actual and expected number of rec_fantasy_points_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
rush_fantasy_points_diff_team,numeric,weekly,"Team-level difference between actual and expected number of rush_fantasy_points_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
total_yards_gained_diff_team,numeric,weekly,"Team-level difference between actual and expected number of total_yards_gained_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
total_touchdown_diff_team,numeric,weekly,"Team-level difference between actual and expected number of total_touchdown_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
total_first_down_diff_team,numeric,weekly,"Team-level difference between actual and expected number of total_first_down_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
total_fantasy_points_diff_team,numeric,weekly,"Team-level difference between actual and expected number of total_fantasy_points_diff for a game, summed across all plays/players for that team. Often interpreted as team-level efficiency."
